3602 21360
3600 3601
3600 0 970
0 3601 29
0 1 1000
0 60 996
3600 1 970
1 3601 29
1 2 1000
1 61 996
1 0 1000
3600 2 970
2 3601 29
2 3 1000
2 62 996
2 1 1000
3600 3 970
3 3601 29
3 4 996
3 63 996
3 2 1000
3600 4 974
4 3601 25
4 5 1000
4 64 1000
4 3 996
3600 5 974
5 3601 25
5 6 996
5 65 996
5 4 1000
3600 6 978
6 3601 21
6 7 1000
6 66 1000
6 5 996
3600 7 978
7 3601 21
7 8 996
7 67 996
7 6 1000
3600 8 982
8 3601 17
8 9 1000
8 68 1000
8 7 996
3600 9 982
9 3601 17
9 10 996
9 69 996
9 8 1000
3600 10 982
10 3601 17
10 11 1000
10 70 1000
10 9 996
3600 11 982
11 3601 17
11 12 1000
11 71 1000
11 10 1000
3600 12 982
12 3601 17
12 13 1000
12 72 1000
12 11 1000
3600 13 982
13 3601 17
13 14 1000
13 73 1000
13 12 1000
3600 14 982
14 3601 17
14 15 1000
14 74 1000
14 13 1000
3600 15 982
15 3601 17
15 16 1000
15 75 1000
15 14 1000
3600 16 982
16 3601 17
16 17 1000
16 76 1000
16 15 1000
3600 17 982
17 3601 17
17 18 996
17 77 1000
17 16 1000
3600 18 982
18 3601 17
18 19 1000
18 78 1000
18 17 996
3600 19 982
19 3601 17
19 20 996
19 79 1000
19 18 1000
3600 20 982
20 3601 17
20 21 1000
20 80 1000
20 19 996
3600 21 982
21 3601 17
21 22 1000
21 81 1000
21 20 1000
3600 22 982
22 3601 17
22 23 996
22 82 1000
22 21 1000
3600 23 982
23 3601 17
23 24 1000
23 83 1000
23 22 996
3600 24 982
24 3601 17
24 25 1000
24 84 1000
24 23 1000
3600 25 982
25 3601 17
25 26 1000
25 85 1000
25 24 1000
3600 26 982
26 3601 17
26 27 1000
26 86 1000
26 25 1000
3600 27 982
27 3601 17
27 28 1000
27 87 1000
27 26 1000
3600 28 982
28 3601 17
28 29 1000
28 88 1000
28 27 1000
3600 29 982
29 3601 17
29 30 1000
29 89 1000
29 28 1000
3600 30 982
30 3601 17
30 31 1000
30 90 1000
30 29 1000
3600 31 982
31 3601 17
31 32 1000
31 91 1000
31 30 1000
3600 32 982
32 3601 17
32 33 1000
32 92 1000
32 31 1000
3600 33 982
33 3601 17
33 34 1000
33 93 1000
33 32 1000
3600 34 982
34 3601 17
34 35 1000
34 94 1000
34 33 1000
3600 35 982
35 3601 17
35 36 996
35 95 1000
35 34 1000
3600 36 982
36 3601 17
36 37 1000
36 96 1000
36 35 996
3600 37 982
37 3601 17
37 38 1000
37 97 1000
37 36 1000
3600 38 982
38 3601 17
38 39 1000
38 98 1000
38 37 1000
3600 39 982
39 3601 17
39 40 1000
39 99 1000
39 38 1000
3600 40 982
40 3601 17
40 41 1000
40 100 1000
40 39 1000
3600 41 982
41 3601 17
41 42 996
41 101 1000
41 40 1000
3600 42 982
42 3601 17
42 43 1000
42 102 996
42 41 996
3600 43 982
43 3601 17
43 44 1000
43 103 996
43 42 1000
3600 44 982
44 3601 17
44 45 1000
44 104 996
44 43 1000
3600 45 982
45 3601 17
45 46 996
45 105 1000
45 44 1000
3600 46 982
46 3601 17
46 47 1000
46 106 1000
46 45 996
3600 47 982
47 3601 17
47 48 1000
47 107 1000
47 46 1000
3600 48 982
48 3601 17
48 49 1000
48 108 1000
48 47 1000
3600 49 982
49 3601 17
49 50 1000
49 109 1000
49 48 1000
3600 50 982
50 3601 17
50 51 1000
50 110 1000
50 49 1000
3600 51 982
51 3601 17
51 52 1000
51 111 1000
51 50 1000
3600 52 982
52 3601 17
52 53 1000
52 112 1000
52 51 1000
3600 53 982
53 3601 17
53 54 1000
53 113 1000
53 52 1000
3600 54 982
54 3601 17
54 55 996
54 114 1000
54 53 1000
3600 55 982
55 3601 17
55 56 1000
55 115 1000
55 54 996
3600 56 982
56 3601 17
56 57 1000
56 116 1000
56 55 1000
3600 57 982
57 3601 17
57 58 1000
57 117 1000
57 56 1000
3600 58 982
58 3601 17
58 59 1000
58 118 1000
58 57 1000
3600 59 982
59 3601 17
59 119 1000
59 58 1000
3600 60 974
60 3601 25
60 61 1000
60 120 996
60 0 996
3600 61 974
61 3601 25
61 62 1000
61 121 996
61 60 1000
61 1 996
3600 62 974
62 3601 25
62 63 1000
62 122 992
62 61 1000
62 2 996
3600 63 974
63 3601 25
63 64 1000
63 123 992
63 62 1000
63 3 996
3600 64 974
64 3601 25
64 65 996
64 124 992
64 63 1000
64 4 1000
3600 65 978
65 3601 21
65 66 1000
65 125 992
65 64 996
65 5 996
3600 66 978
66 3601 21
66 67 996
66 126 992
66 65 1000
66 6 1000
3600 67 982
67 3601 17
67 68 1000
67 127 996
67 66 996
67 7 996
3600 68 982
68 3601 17
68 69 996
68 128 996
68 67 1000
68 8 1000
3600 69 982
69 3601 17
69 70 1000
69 129 996
69 68 996
69 9 996
3600 70 982
70 3601 17
70 71 1000
70 130 996
70 69 1000
70 10 1000
3600 71 982
71 3601 17
71 72 1000
71 131 996
71 70 1000
71 11 1000
3600 72 982
72 3601 17
72 73 1000
72 132 996
72 71 1000
72 12 1000
3600 73 982
73 3601 17
73 74 1000
73 133 996
73 72 1000
73 13 1000
3600 74 982
74 3601 17
74 75 1000
74 134 996
74 73 1000
74 14 1000
3600 75 982
75 3601 17
75 76 1000
75 135 996
75 74 1000
75 15 1000
3600 76 982
76 3601 17
76 77 1000
76 136 996
76 75 1000
76 16 1000
3600 77 982
77 3601 17
77 78 996
77 137 996
77 76 1000
77 17 1000
3600 78 982
78 3601 17
78 79 1000
78 138 1000
78 77 996
78 18 1000
3600 79 982
79 3601 17
79 80 996
79 139 1000
79 78 1000
79 19 1000
3600 80 982
80 3601 17
80 81 1000
80 140 996
80 79 996
80 20 1000
3600 81 982
81 3601 17
81 82 1000
81 141 996
81 80 1000
81 21 1000
3600 82 982
82 3601 17
82 83 996
82 142 1000
82 81 1000
82 22 1000
3600 83 982
83 3601 17
83 84 1000
83 143 996
83 82 996
83 23 1000
3600 84 982
84 3601 17
84 85 1000
84 144 1000
84 83 1000
84 24 1000
3600 85 982
85 3601 17
85 86 1000
85 145 1000
85 84 1000
85 25 1000
3600 86 982
86 3601 17
86 87 1000
86 146 1000
86 85 1000
86 26 1000
3600 87 982
87 3601 17
87 88 1000
87 147 1000
87 86 1000
87 27 1000
3600 88 982
88 3601 17
88 89 1000
88 148 1000
88 87 1000
88 28 1000
3600 89 982
89 3601 17
89 90 1000
89 149 1000
89 88 1000
89 29 1000
3600 90 982
90 3601 17
90 91 1000
90 150 1000
90 89 1000
90 30 1000
3600 91 982
91 3601 17
91 92 1000
91 151 1000
91 90 1000
91 31 1000
3600 92 982
92 3601 17
92 93 1000
92 152 1000
92 91 1000
92 32 1000
3600 93 982
93 3601 17
93 94 1000
93 153 996
93 92 1000
93 33 1000
3600 94 982
94 3601 17
94 95 1000
94 154 1000
94 93 1000
94 34 1000
3600 95 982
95 3601 17
95 96 996
95 155 1000
